,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_text,aware_text,teks_id,teks_display_path
11,2416,English,Reading/Comprehension of Informational Text/Procedural Texts,110.31.b.11.B,"9, 10, 11, 12","analyze factual, quantitative, or technical data presented in multiple graphical sources.","analyze factual, quantitative, or technical data presented in multiple graphical sources.",158383,110.31.11.B
12,2420,English,Reading/Media Literacy,110.31.b.12,"9, 10, 11, 12","Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students will continue to apply earlier standards with greater depth in increasingly more complex texts. Students are expected to:","Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students will continue to apply earlier standards with greater depth in increasingly more complex texts.",175677,110.31.12
13,2421,English,Reading/Media Literacy,110.31.b.12.A,"9, 10, 11, 12","compare and contrast how events are presented and information is communicated by visual images (e.g., graphic art, illustrations, news photographs) versus non-visual texts;","compare and contrast how events are presented and information is communicated by visual images (e.g., graphic art, illustrations, news photographs) versus non-visual texts.",158384,110.31.12.A
14,2422,English,Reading/Media Literacy,110.31.b.12.B,"9, 10, 11, 12","analyze how messages in media are conveyed through visual and sound techniques (e.g., editing, reaction shots, sequencing, background music);","analyze how messages in media are conveyed through visual and sound techniques (e.g., editing, reaction shots, sequencing, background music).",158385,110.31.12.B
15,2417,English,Reading/Media Literacy,110.31.b.12.C,"9, 10, 11, 12","compare and contrast coverage of the same event in various media (e.g., newspapers, television, documentaries, blogs, Internet); and","compare and contrast coverage of the same event in various media (e.g., newspapers, television, documentaries, blogs, Internet).",158386,110.31.12.C
16,2418,English,Reading/Media Literacy,110.31.b.12.D,"9, 10, 11, 12",evaluate changes in formality and tone within the same medium for specific audiences and purposes.,evaluate changes in formality and tone within the same medium for specific audiences and purposes.,158387,110.31.12.D
17,2423,English,Writing/Writing Process,110.31.b.13,"9, 10, 11, 12","Writing/Writing Process. Students use elements of the writing process (planning, drafting, revising, editing, and publishing) to compose text. Students are expected to:","Writing/Writing Process. Students use elements of the writing process (planning, drafting, revising, editing, and publishing) to compose text.",175678,110.31.13
18,2424,English,Writing/Writing Process,110.31.b.13.A,"9, 10, 11, 12","plan a first draft by selecting the correct genre for conveying the intended meaning to multiple audiences, determining appropriate topics through a range of strategies (e.g., discussion, background reading, personal interests, interviews), and developing a thesis or controlling idea;","plan a first draft by selecting the correct genre for conveying the intended meaning to multiple audiences, determining appropriate topics through a range of strategies (e.g., discussion, background reading, personal interests, interviews), and developing a thesis or controlling idea.",158388,110.31.13.A
19,2425,English,Writing/Writing Process,110.31.b.13.B,"9, 10, 11, 12","structure ideas in a sustained and persuasive way (e.g., using outlines, note taking, graphic organizers, lists) and develop drafts in timed and open-ended situations that include transitions and the rhetorical devices used to convey meaning;","structure ideas in a sustained and persuasive way (e.g., using outlines, note taking, graphic organizers, lists) and develop drafts in timed and open-ended situations that include transitions and the rhetorical devices used to convey meaning.",158389,110.31.13.B
20,2426,English,Writing/Writing Process,110.31.b.13.C,"9, 10, 11, 12","revise drafts to improve style, word choice, figurative language, sentence variety, and subtlety of meaning after rethinking how well questions of purpose, audience, and genre have been addressed;","revise drafts to improve style, word choice, figurative language, sentence variety, and subtlety of meaning after rethinking how well questions of purpose, audience, and genre have been addressed.",158390,110.31.13.C
21,2401,English,Writing/Writing Process,110.31.b.13.D,"9, 10, 11, 12","edit drafts for grammar, mechanics, and spelling; and","edit drafts for grammar, mechanics, and spelling.",158391,110.31.13.D
22,2402,English,Writing/Writing Process,110.31.b.13.E,"9, 10, 11, 12",revise final draft in response to feedback from peers and teacher and publish written work for appropriate audiences.,revise final draft in response to feedback from peers and teacher and publish written work for appropriate audiences.,158392,110.31.13.E
23,2427,English,Writing/Literary Texts,110.31.b.14,"9, 10, 11, 12","Writing/Literary Texts. Students write literary texts to express their ideas and feelings about real or imagined people, events, and ideas. Students are responsible for at least two forms of literary writing. Students are expected to:","Writing/Literary Texts. Students write literary texts to express their ideas and feelings about real or imagined people, events, and ideas. Students are responsible for at least two forms of literary writing.",175679,110.31.14
24,2428,English,Writing/Literary Texts,110.31.b.14.A,"9, 10, 11, 12","write an engaging story with a well-developed conflict and resolution, interesting and believable characters, and a range of literary strategies (e.g., dialogue, suspense) and devices to enhance the plot;","write an engaging story with a well-developed conflict and resolution, interesting and believable characters, and a range of literary strategies (e.g., dialogue, suspense) and devices to enhance the plot.",158393,110.31.14.A
25,2429,English,Writing/Literary Texts,110.31.b.14.B,"9, 10, 11, 12","write a poem using a variety of poetic techniques (e.g., structural elements, figurative language) and a variety of poetic forms (e.g., sonnets, ballads); and","write a poem using a variety of poetic techniques (e.g., structural elements, figurative language) and a variety of poetic forms (e.g., sonnets, ballads).",158394,110.31.14.B
26,2403,English,Writing/Literary Texts,110.31.b.14.C,"9, 10, 11, 12",write a script with an explicit or implicit theme and details that contribute to a definite mood or tone.,write a script with an explicit or implicit theme and details that contribute to a definite mood or tone.,158395,110.31.14.C
27,2430,English,Writing/Expository and Procedural Texts,110.31.b.15,"9, 10, 11, 12",Writing/Expository and Procedural Texts. Students write expository and procedural or work-related texts to communicate ideas and information to specific audiences for specific purposes. Students are expected to:,Writing/Expository and Procedural Texts. Students write expository and procedural or work-related texts to communicate ideas and information to specific audiences for specific purposes.,175680,110.31.15
28,2404,English,Writing/Expository and Procedural Texts,110.31.b.15.A,"9, 10, 11, 12",write an analytical essay of sufficient length that includes:,write an analytical essay of sufficient length that includes,175836,110.31.15.A
29,2431,English,Writing/Expository and Procedural Texts,110.31.b.15.A.i,"9, 10, 11, 12",effective introductory and concluding paragraphs and a variety of sentence structures;,write an analytical essay of sufficient length that includes effective introductory and concluding paragraphs and a variety of sentence structures.,158396,110.31.15.Ai
30,2432,English,Writing/Expository and Procedural Texts,110.31.b.15.A.ii,"9, 10, 11, 12","rhetorical devices, and transitions between paragraphs;","write an analytical essay of sufficient length that includes rhetorical devices, and transitions between paragraphs.",158397,110.31.15.Aii
31,2433,English,Writing/Expository and Procedural Texts,110.31.b.15.A.iii,"9, 10, 11, 12",a controlling idea or thesis;,write an analytical essay of sufficient length that includes a controlling idea or thesis.,158398,110.31.15.Aiii
32,2434,English,Writing/Expository and Procedural Texts,110.31.b.15.A.iv,"9, 10, 11, 12","an organizing structure appropriate to purpose, audience, and context; and","write an analytical essay of sufficient length that includes an organizing structure appropriate to purpose, audience, and context.",158399,110.31.15.Aiv
33,2056,English,Writing/Expository and Procedural Texts,110.31.b.15.A.v,"9, 10, 11, 12",relevant information and valid inferences;,write an analytical essay of sufficient length that includes relevant information and valid inferences.,158400,110.31.15.Av
34,2435,English,Writing/Expository and Procedural Texts,110.31.b.15.B,"9, 10, 11, 12","write procedural or work-related documents (e.g., instructions, e-mails, correspondence, memos, project plans) that include:","write procedural or work-related documents (e.g., instructions, e-mails, correspondence, memos, project plans) that include",175837,110.31.15.B
35,2436,English,Writing/Expository and Procedural Texts,110.31.b.15.B.i,"9, 10, 11, 12",organized and accurately conveyed information; and,"write procedural or work-related documents (e.g., instructions, e-mails, correspondence, memos, project plans) that include organized and accurately conveyed information.",158401,110.31.15.Bi
36,2437,English,Writing/Expository and Procedural Texts,110.31.b.15.B.ii,"9, 10, 11, 12",reader-friendly formatting techniques;,"write procedural or work-related documents (e.g., instructions, e-mails, correspondence, memos, project plans) that include reader-friendly formatting techniques.",158402,110.31.15.Bii
37,2438,English,Writing/Expository and Procedural Texts,110.31.b.15.C,"9, 10, 11, 12","write an interpretative response to an expository or a literary text (e.g., essay or review) that:","write an interpretative response to an expository or a literary text (e.g., essay or review) that",175838,110.31.15.C
38,2439,English,Writing/Expository and Procedural Texts,110.31.b.15.C.i,"9, 10, 11, 12",extends beyond a summary and literal analysis;,"write an interpretative response to an expository or a literary text (e.g., essay or review) that extends beyond a summary and literal analysis.",158403,110.31.15.Ci
39,2440,English,Writing/Expository and Procedural Texts,110.31.b.15.C.ii,"9, 10, 11, 12",addresses the writing skills for an analytical essay and provides evidence from the text using embedded quotations; and,"write an interpretative response to an expository or a literary text (e.g., essay or review) that addresses the writing skills for an analytical essay and provides evidence from the text using embedded quotations.",158404,110.31.15.Cii
40,2441,English,Writing/Expository and Procedural Texts,110.31.b.15.C.iii,"9, 10, 11, 12",analyzes the aesthetic effects of an author's use of stylistic or rhetorical devices; and,"write an interpretative response to an expository or a literary text (e.g., essay or review) that analyzes the aesthetic effects of an author's use of stylistic or rhetorical devices.",158405,110.31.15.Ciii
41,2442,English,Writing/Expository and Procedural Texts,110.31.b.15.D,"9, 10, 11, 12","produce a multimedia presentation (e.g., documentary, class newspaper, docudrama, infomercial, visual or textual parodies, theatrical production) with graphics, images, and sound that conveys a distinctive point of view and appeals to a specific audience.","produce a multimedia presentation (e.g., documentary, class newspaper, docudrama, infomercial, visual or textual parodies, theatrical production) with graphics, images, and sound that conveys a distinctive point of view and appeals to a specific audience.",158406,110.31.15.D
42,2443,English,Writing/Persuasive Texts,110.31.b.16,"9, 10, 11, 12",Writing/Persuasive Texts. Students write persuasive texts to influence the attitudes or actions of a specific audience on specific issues. Students are expected to write an argumentative essay to the appropriate audience that includes:,Writing/Persuasive Texts. Students write persuasive texts to influence the attitudes or actions of a specific audience on specific issues.,175681,110.31.16
43,2444,English,Writing/Persuasive Texts,110.31.b.16.A,"9, 10, 11, 12",a clear thesis or position based on logical reasons supported by precise and relevant evidence;,a clear thesis or position based on logical reasons supported by precise and relevant evidence.,158407,110.31.16.A
44,2445,English,Writing/Persuasive Texts,110.31.b.16.B,"9, 10, 11, 12",consideration of the whole range of information and views on the topic and accurate and honest representation of these views;,consideration of the whole range of information and views on the topic and accurate and honest representation of these views.,158408,110.31.16.B
45,2446,English,Writing/Persuasive Texts,110.31.b.16.C,"9, 10, 11, 12",counter-arguments based on evidence to anticipate and address objections;,counter-arguments based on evidence to anticipate and address objections.,158409,110.31.16.C
46,2447,English,Writing/Persuasive Texts,110.31.b.16.D,"9, 10, 11, 12","an organizing structure appropriate to the purpose, audience, and context; and","an organizing structure appropriate to the purpose, audience, and context.",158410,110.31.16.D
47,2448,English,Writing/Persuasive Texts,110.31.b.16.E,"9, 10, 11, 12","an analysis of the relative value of specific data, facts, and ideas.","an analysis of the relative value of specific data, facts, and ideas.",158411,110.31.16.E
48,2449,English,Oral and Written Conventions/Conventions,110.31.b.17,"9, 10, 11, 12",Oral and Written Conventions/Conventions. Students understand the function of and use the conventions of academic language when speaking and writing. Students will continue to apply earlier standards with greater complexity. Students are expected to:,Oral and Written Conventions/Conventions. Students understand the function of and use the conventions of academic language when speaking and writing. Students will continue to apply earlier standards with greater complexity.,175682,110.31.17
49,2450,English,Oral and Written Conventions/Conventions,110.31.b.17.A,"9, 10, 11, 12","use and understand the function of the following parts of speech in the context of reading, writing, and speaking:","use and understand the function of the following parts of speech in the context of reading, writing, and speaking",175839,110.31.17.A
50,2451,English,Oral and Written Conventions/Conventions,110.31.b.17.A.i,"9, 10, 11, 12","more complex active and passive tenses and verbals (gerunds, infinitives, participles);","use and understand the function of the following parts of speech in the context of reading, writing, and speaking more complex active and passive tenses and verbals (gerunds, infinitives, participles).",158412,110.31.17.Ai
51,2452,English,Oral and Written Conventions/Conventions,110.31.b.17.A.ii,"9, 10, 11, 12",restrictive and nonrestrictive relative clauses; and,"use and understand the function of the following parts of speech in the context of reading, writing, and speaking restrictive and nonrestrictive relative clauses.",158413,110.31.17.Aii
52,2453,English,Oral and Written Conventions/Conventions,110.31.b.17.A.iii,"9, 10, 11, 12","reciprocal pronouns (e.g., each other, one another);","use and understand the function of the following parts of speech in the context of reading, writing, and speaking reciprocal pronouns (e.g., each other, one another).",158414,110.31.17.Aiii
53,2454,English,Oral and Written Conventions/Conventions,110.31.b.17.B,"9, 10, 11, 12","identify and use the subjunctive mood to express doubts, wishes, and possibilities; and","identify and use the subjunctive mood to express doubts, wishes, and possibilities.",158415,110.31.17.B
54,2455,English,Oral and Written Conventions/Conventions,110.31.b.17.C,"9, 10, 11, 12","use a variety of correctly structured sentences (e.g., compound, complex, compound-complex).","use a variety of correctly structured sentences (e.g., compound, complex, compound-complex).",158416,110.31.17.C
55,2456,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.31.b.18,"9, 10, 11, 12","Oral and Written Conventions/Handwriting, Capitalization, and Punctuation. Students write legibly and use appropriate capitalization and punctuation conventions in their compositions. Students are expected to:","Oral and Written Conventions/Handwriting, Capitalization, and Punctuation. Students write legibly and use appropriate capitalization and punctuation conventions in their compositions.",175683,110.31.18
56,2457,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.31.b.18.A,"9, 10, 11, 12",use conventions of capitalization; and,use conventions of capitalization.,158417,110.31.18.A
57,2458,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.31.b.18.B,"9, 10, 11, 12",use correct punctuation marks including:,use correct punctuation marks including,175840,110.31.18.B
58,2459,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.31.b.18.B.i,"9, 10, 11, 12",quotation marks to indicate sarcasm or irony;,use correct punctuation marks including quotation marks to indicate sarcasm or irony.,158418,110.31.18.Bi
59,2460,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.31.b.18.B.ii,"9, 10, 11, 12","comma placement in nonrestrictive phrases, clauses, and contrasting expressions; and","use correct punctuation marks including comma placement in nonrestrictive phrases, clauses, and contrasting expressions.",158419,110.31.18.Bii
60,2461,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.31.b.18.B.iii,"9, 10, 11, 12",dashes to emphasize parenthetical information.,use correct punctuation marks including dashes to emphasize parenthetical information.,158420,110.31.18.Biii
61,2462,English,Oral and Written Conventions/Spelling,110.31.b.19,"9, 10, 11, 12","Oral and Written Conventions/Spelling. Students spell correctly. Students are expected to spell correctly, including using various resources to determine and check correct spellings.","spell correctly, including using various resources to determine and check correct spellings.",158421,110.31.19.A
62,2392,English,Reading/Comprehension of Literary Text/Theme and Genre,110.31.b.2,"9, 10, 11, 12","Reading/Comprehension of Literary Text/Theme and Genre. Students analyze, make inferences and draw conclusions about theme and genre in different cultural, historical, and contemporary contexts and provide evidence from the text to support their understanding. Students are expected to:","Reading/Comprehension of Literary Text/Theme and Genre. Students analyze, make inferences and draw conclusions about theme and genre in different cultural, historical, and contemporary contexts and provide evidence from the text to support their understanding.",175685,110.31.2
63,2388,English,Reading/Comprehension of Literary Text/Theme and Genre,110.31.b.2.A,"9, 10, 11, 12",analyze how the genre of texts with similar themes shapes meaning;,analyze how the genre of texts with similar themes shapes meaning.,158365,110.31.2.A
64,2393,English,Reading/Comprehension of Literary Text/Theme and Genre,110.31.b.2.B,"9, 10, 11, 12","analyze the influence of mythic, classical and traditional literature on 20th and 21st century literature; and","analyze the influence of mythic, classical and traditional literature on 20th and 21st century literature.",158366,110.31.2.B
65,2389,English,Reading/Comprehension of Literary Text/Theme and Genre,110.31.b.2.C,"9, 10, 11, 12",relate the figurative language of a literary work to its historical and cultural setting.,relate the figurative language of a literary work to its historical and cultural setting.,158367,110.31.2.C
66,2463,English,Research/Research Plan,110.31.b.20,"9, 10, 11, 12",Research/Research Plan. Students ask open-ended research questions and develop a plan for answering them. Students are expected to:,Research/Research Plan. Students ask open-ended research questions and develop a plan for answering them.,175686,110.31.20
67,2464,English,Research/Research Plan,110.31.b.20.A,"9, 10, 11, 12","brainstorm, consult with others, decide upon a topic, and formulate a major research question to address the major research topic; and","brainstorm, consult with others, decide upon a topic, and formulate a major research question to address the major research topic.",158422,110.31.20.A
68,2465,English,Research/Research Plan,110.31.b.20.B,"9, 10, 11, 12","formulate a plan for engaging in research on a complex, multi-faceted topic.","formulate a plan for engaging in research on a complex, multi-faceted topic.",158423,110.31.20.B
69,2466,English,Research/Gathering Sources,110.31.b.21,"9, 10, 11, 12","Research/Gathering Sources. Students determine, locate, and explore the full range of relevant sources addressing a research question and systematically record the information they gather. Students are expected to:","Research/Gathering Sources. Students determine, locate, and explore the full range of relevant sources addressing a research question and systematically record the information they gather.",175687,110.31.21
70,2467,English,Research/Gathering Sources,110.31.b.21.A,"9, 10, 11, 12",follow the research plan to compile data from authoritative sources in a manner that identifies the major issues and debates within the field of inquiry;,follow the research plan to compile data from authoritative sources in a manner that identifies the major issues and debates within the field of inquiry.,158424,110.31.21.A
71,2468,English,Research/Gathering Sources,110.31.b.21.B,"9, 10, 11, 12","organize information gathered from multiple sources to create a variety of graphics and forms (e.g., notes, learning logs); and","organize information gathered from multiple sources to create a variety of graphics and forms (e.g., notes, learning logs).",158425,110.31.21.B
72,2469,English,Research/Gathering Sources,110.31.b.21.C,"9, 10, 11, 12","paraphrase, summarize, quote, and accurately cite all researched information according to a standard format (e.g., author, title, page number).","paraphrase, summarize, quote, and accurately cite all researched information according to a standard format (e.g., author, title, page number).",158426,110.31.21.C
73,2470,English,Research/Synthesizing Information,110.31.b.22,"9, 10, 11, 12",Research/Synthesizing Information. Students clarify research questions and evaluate and synthesize collected information. Students are expected to:,Research/Synthesizing Information. Students clarify research questions and evaluate and synthesize collected information.,175688,110.31.22
74,2471,English,Research/Synthesizing Information,110.31.b.22.A,"9, 10, 11, 12",modify the major research question as necessary to refocus the research plan;,modify the major research question as necessary to refocus the research plan.,158427,110.31.22.A
75,2472,English,Research/Synthesizing Information,110.31.b.22.B,"9, 10, 11, 12","evaluate the relevance of information to the topic and determine the reliability, validity, and accuracy of sources (including Internet sources) by examining their authority and objectivity; and","evaluate the relevance of information to the topic and determine the reliability, validity, and accuracy of sources (including Internet sources) by examining their authority and objectivity.",158428,110.31.22.B
76,2473,English,Research/Synthesizing Information,110.31.b.22.C,"9, 10, 11, 12",critique the research process at each step to implement changes as the need occurs and is identified.,critique the research process at each step to implement changes as the need occurs and is identified.,158429,110.31.22.C
77,2476,English,Research/Organizing and Presenting Ideas,110.31.b.23,"9, 10, 11, 12",Research/Organizing and Presenting Ideas. Students organize and present their ideas and information according to the purpose of the research and their audience. Students are expected to synthesize the research into a written or an oral presentation that:,Research/Organizing and Presenting Ideas. Students organize and present their ideas and information according to the purpose of the research and their audience.,175689,110.31.23
78,2474,English,Research/Organizing and Presenting Ideas,110.31.b.23.A,"9, 10, 11, 12",marshals evidence in support of a clear thesis statement and related claims;,marshals evidence in support of a clear thesis statement and related claims.,158430,110.31.23.A
79,2475,English,Research/Organizing and Presenting Ideas,110.31.b.23.B,"9, 10, 11, 12",provides an analysis for the audience that reflects a logical progression of ideas and a clearly stated point of view;,provides an analysis for the audience that reflects a logical progression of ideas and a clearly stated point of view.,158431,110.31.23.B
80,2477,English,Research/Organizing and Presenting Ideas,110.31.b.23.C,"9, 10, 11, 12",uses graphics and illustrations to help explain concepts where appropriate;,uses graphics and illustrations to help explain concepts where appropriate.,158432,110.31.23.C
81,2478,English,Research/Organizing and Presenting Ideas,110.31.b.23.D,"9, 10, 11, 12","uses a variety of evaluative tools (e.g., self-made rubrics, peer reviews, teacher and expert evaluations) to examine the quality of the research; and","uses a variety of evaluative tools (e.g., self-made rubrics, peer reviews, teacher and expert evaluations) to examine the quality of the research.",158433,110.31.23.D
82,2479,English,Research/Organizing and Presenting Ideas,110.31.b.23.E,"9, 10, 11, 12","uses a style manual (e.g., Modern Language Association, Chicago Manual of Style) to document sources and format written materials.","uses a style manual (e.g., Modern Language Association, Chicago Manual of Style) to document sources and format written materials.",158434,110.31.23.E
83,2480,English,Listening and Speaking/Listening,110.31.b.24,"9, 10, 11, 12",Listening and Speaking/Listening. Students will use comprehension skills to listen attentively to others in formal and informal settings. Students will continue to apply earlier standards with greater complexity. Students are expected to:,Listening and Speaking/Listening. Students will use comprehension skills to listen attentively to others in formal and informal settings. Students will continue to apply earlier standards with greater complexity.,175690,110.31.24
84,2481,English,Listening and Speaking/Listening,110.31.b.24.A,"9, 10, 11, 12","listen responsively to a speaker by taking notes that summarize, synthesize, or highlight the speaker's ideas for critical reflection and by asking questions related to the content for clarification and elaboration;","listen responsively to a speaker by taking notes that summarize, synthesize, or highlight the speaker's ideas for critical reflection and by asking questions related to the content for clarification and elaboration.",158435,110.31.24.A
85,2482,English,Listening and Speaking/Listening,110.31.b.24.B,"9, 10, 11, 12","follow and give complex oral instructions to perform specific tasks, answer questions, solve problems, and complete processes; and","follow and give complex oral instructions to perform specific tasks, answer questions, solve problems, and complete processes.",158436,110.31.24.B
86,2483,English,Listening and Speaking/Listening,110.31.b.24.C,"9, 10, 11, 12",evaluate the effectiveness of a speaker's main and supporting ideas.,evaluate the effectiveness of a speaker's main and supporting ideas.,158437,110.31.24.C
87,2484,English,Listening and Speaking/Speaking,110.31.b.25,"9, 10, 11, 12","Listening and Speaking/Speaking. Students speak clearly and to the point, using the conventions of language. Students will continue to apply earlier standards with greater complexity. Students are expected to give presentations using informal, formal, and technical language effectively to meet the needs of audience, purpose, and occasion, employing eye contact, speaking rate (e.g., pauses for effect), volume, enunciation, purposeful gestures, and conventions of language to communicate ideas effectively.","give presentations using informal, formal, and technical language effectively to meet the needs of audience, purpose, and occasion, employing eye contact, speaking rate (e.g., pauses for effect), volume, enunciation, purposeful gestures, and conventions of language to communicate ideas effectively.",158438,110.31.25.A
88,2485,English,Listening and Speaking/Teamwork,110.31.b.26,"9, 10, 11, 12","Listening and Speaking/Teamwork. Students work productively with others in teams. Students will continue to apply earlier standards with greater complexity. Students are expected to participate productively in teams, building on the ideas of others, contributing relevant information, developing a plan for consensus-building, and setting ground rules for decision-making.","participate productively in teams, building on the ideas of others, contributing relevant information, developing a plan for consensus-building, and setting ground rules for decision-making.",158439,110.31.26.A
89,2394,English,Reading/Comprehension of Literary Text/Poetry,110.31.b.3,"9, 10, 11, 12","Reading/Comprehension of Literary Text/Poetry. Students understand, make inferences and draw conclusions about the structure and elements of poetry and provide evidence from text to support their understanding. Students are expected to analyze the effects of diction and imagery (e.g., controlling images, figurative language, understatement, overstatement, irony, paradox) in poetry.","analyze the effects of diction and imagery (e.g., controlling images, figurative language, understatement, overstatement, irony, paradox) in poetry.",158368,110.31.3.A
90,2395,English,Reading/Comprehension of Literary Text/Drama,110.31.b.4,"9, 10, 11, 12","Reading/Comprehension of Literary Text/Drama. Students understand, make inferences and draw conclusions about the structure and elements of drama and provide evidence from text to support their understanding. Students are expected to explain how dramatic conventions (e.g., monologues, soliloquies, dramatic irony) enhance dramatic text.","explain how dramatic conventions (e.g., monologues, soliloquies, dramatic irony) enhance dramatic text.",159999,110.31.4.A
91,2396,English,Reading/Comprehension of Literary Text/Fiction,110.31.b.5,"9, 10, 11, 12","Reading/Comprehension of Literary Text/Fiction. Students understand, make inferences and draw conclusions about the structure and elements of fiction and provide evidence from text to support their understanding. Students are expected to:","Reading/Comprehension of Literary Text/Fiction. Students understand, make inferences and draw conclusions about the structure and elements of fiction and provide evidence from text to support their understanding.",175695,110.31.5
92,2397,English,Reading/Comprehension of Literary Text/Fiction,110.31.b.5.A,"9, 10, 11, 12","analyze non-linear plot development (e.g., flashbacks, foreshadowing, sub-plots, parallel plot structures) and compare it to linear plot development;","analyze non-linear plot development (e.g., flashbacks, foreshadowing, sub-plots, parallel plot structures) and compare it to linear plot development.",158369,110.31.5.A
93,2398,English,Reading/Comprehension of Literary Text/Fiction,110.31.b.5.B,"9, 10, 11, 12","analyze how authors develop complex yet believable characters in works of fiction through a range of literary devices, including character foils;","analyze how authors develop complex yet believable characters in works of fiction through a range of literary devices, including character foils.",158370,110.31.5.B
94,2390,English,Reading/Comprehension of Literary Text/Fiction,110.31.b.5.C,"9, 10, 11, 12",analyze the way in which a work of fiction is shaped by the narrator's point of view; and,analyze the way in which a work of fiction is shaped by the narrator's point of view.,158371,110.31.5.C
95,2399,English,Reading/Comprehension of Literary Text/Fiction,110.31.b.5.D,"9, 10, 11, 12",demonstrate familiarity with works by authors from non-English-speaking literary traditions with emphasis on classical literature.,demonstrate familiarity with works by authors from non-English-speaking literary traditions with emphasis on classical literature.,158372,110.31.5.D
